"","Country","Year","A","B","B1G","C10to12","C13to15","C16to18","C19","C20_21","C22_23","C24_25","C26","C27","C28","C29_30","C31to33","D_E","F","G","H","I","J58to60","J61","J62_63","K","L68","M_N","O84","P85","Q","R_S","T_U","Nuclear","Hydro","Wind","Solar","Other","Coal","Gas","Oil","Bio_Rest","Bio_Gas"
"26","UK",2010,0.00409882212082833,0.126779719382365,0.238261238653733,0.00161282380024364,0.000105358320427444,0.00123904613927522,0.00169848282614626,0.00463094876575891,0.00131692196952371,0.00596625381859198,0.00215854251965928,0.00218498959034874,0.00776196955459553,0.00226364637258507,0.01963773093891,0.482194794837419,0.0172267040091583,0.0141240958330929,0.00780613282824518,0.000666704854341398,0.000884327216706771,0.00166084796012533,0.00711192793424195,0.0245266307786762,0.00138202177624072,0.0208847708676338,0.000985938722540851,0.000163034695889223,0.000123469386752274,0.000542103525943822,0,0.182648670256543,0.0172037764243892,0.0234262938838855,0,0,0.305220800902956,0.453700002351447,0.00668104968608178,0.0111194064946975,0
"27","BE",2011,0.000501451403748332,0.0274034425515531,0.503204730334864,0.00147195273592587,0.000222111411981953,0.00245164149941684,0.00594461872510715,0.0283934408753728,0.00358983098633036,0.00790988742941984,0.00482648729434356,0.0208086201950962,0.00312372664656653,0.00110634907610209,0.0128889141367917,0.106011104869268,0.0464467434062647,0.0402509781809026,0.0292063532139528,0.00185172327456884,0.00277306132926,0.00823516457775337,0.00358793739361691,0.0115914524627576,0.00338279818299259,0.115835344398928,0.00237386393203826,0.00133561406055709,0.0000803023576631944,0.00319035305685477,0,0.521364697972657,0.0153813070700147,0.0248392436028769,0.0000432362812930843,0.0240177542583083,0.0559693661338976,0.327872791173986,0.00127366878642544,0.0263962301325534,0.00284170458798796
"28","BG",2011,0.000733992862471199,0.208031093496743,0.333941393745845,0.00150250170407972,0.00765479888337285,0.00388222584392156,0.0240778304805211,0.00210336150416411,0.00858931314845135,0.0192570987276753,0.00331588202297449,0.0248763940522628,0.00569560616281634,0.00424264780294053,0.0120240052764836,0.056034461504939,0.0312759383474172,0.0923126339988969,0.0813243428991121,0.00188922155196522,0.00234520816070452,0.00763601467703962,0.00829275749096538,0.0385613927737628,0.00638827377135441,0.0119918373231379,0.0010880751518527,0.000116227276686898,0.0000608138680038517,0.000754655489437758,0,0.250935554433788,0.0558960121150934,0.0130388692579505,0.00152953054013125,0,0.513087666161871,0.149697122665321,0.0148308934881373,0.000984351337708228,0
"29","CZ",2011,0.0028400123072876,0.149599308537124,0.34138577944589,0.00221760176999464,0.00095945171503462,0.00195448652305033,0.0249252520175496,0.00545613297507539,0.00348726054809707,0.00751314108285341,0.00274559380313977,0.0102694215574825,0.0133086639546791,0.00234860157270225,0.00755054443306621,0.20344598181152,0.0145635845210022,0.07243079499441,0.060759775368514,0.00293460696536109,0.000977713005326895,0.00448799099970876,0.00447061047904473,0.0236109088603076,0.00873065829896374,0.0224470011555698,0.00221319792185342,0.00151580453020922,0.00022271727999549,0.000627401565186347,0,0.253572510990253,0.019200488082745,0.00352734556633493,0.0193870731127023,0.00377069588318395,0.595327180305308,0.0814172169608754,0.00905085478649835,0.0139736391879898,0.000772995124108662
"30","DK",2011,0.0103453431953338,0.236043524925965,0.453866721070712,0.00145775808869465,0.000321355573098889,0.00859588142790345,0.0107318315620339,0.000962292674334765,0.00280007653736836,0.00396613094732734,0.00084191105191996,0.00110827123119988,0.00561092406200541,0.000928839255053177,0.00823739762810189,0.0783750255018963,0.0335974970759937,0.0166485249449729,0.0238901764794585,0.000974710989068082,0.00127249710767312,0.00113919030053589,0.00424706363879431,0.0398236345872875,0.00134282531866283,0.045352318993559,0.00400845459141844,0.00020946402300176,0.0000715953859624891,0.00322876183066234,0,0,0.000268539352460967,0.154394331232558,0.000952173847778266,0.0358850172237499,0.356840532543549,0.233241346465265,0.0137832649338299,0.196455915037554,0.00817887936325493
"31","DE",2011,0.000158517595382444,0.080779605849126,0.351427641796636,0.000740415558222757,0.000216594361340922,0.00199468779778518,0.013660458463642,0.00310819266480035,0.0101954766527869,0.0127980891331121,0.00417591281376094,0.0211360239285199,0.00700830404800636,0.0022029536088222,0.0148027414464394,0.181930466495116,0.025373843154138,0.0429210650118829,0.0412521425102704,0.000546970105003313,0.0015307131838014,0.00212665813907393,0.00559999824505547,0.0196757836654597,0.0177193328370162,0.0636910788993687,0.0696091087867433,0.000300995295224242,0.00012414745296758,0.00319208050049531,0,0.156028533915697,0.0335045665858001,0.0720496304004668,0.02832244988204,0.0424017057278976,0.428799042767957,0.184626756414664,0.00519110841645182,0.0179961101208631,0.0310800957681628
"32","EE",2011,0.00107362200461008,0.131433610247366,0.391120186878297,0.00218669265636361,0.000490400829195093,0.0350799028480376,0.0248240280936248,0.00397735183552235,0.00402762952305812,0.0148597639269194,0.00137683513559506,0.00683312448755434,0.0284997138039325,0.00187032997633081,0.0144869355362696,0.146477467860955,0.00909716743243452,0.106700855494191,0.0140916755619498,0.00029934561655915,0.00112776720657168,0.00526910165374917,0.00585077582339382,0.0115128169428072,0.00781083213440386,0.0257901331971968,0.00170325335313501,0.000539905013845702,0.000657477452390897,0.000931297473739577,0,0,0.00160425901058811,0.0196789105298808,0,0,0.0616421670568383,0.131721548169362,0.643584152297655,0.140729165428812,0.00103979750686266
"33","IE",2011,0.0057297510741695,0.129881264685529,0.56944256565238,0.00158046594912014,0.000130190516031418,0.000649975173880577,0.00973692132661399,0.00892782441091724,0.000879861130116233,0.00143463693266453,0.000357730697203445,0.000162249441901016,0.000888266824094238,0.000272696351146889,0.00127297393452942,0.14075393210545,0.00201893040476349,0.046103667619312,0.00362441795456234,0.000945151869387244,0.00279401358203762,0.0023817436146048,0.00159454059950191,0.0389758346072195,0.00370436978798103,0.0211481396048933,0.00108785318575802,0.000170459654623718,0.0000494567575915145,0.00330011455201561,0,0,0.0280427817816679,0.173819588955758,0,0,0.240048899315022,0.538480591918693,0.00776326426856005,0.0047668776703247,0.00707799608997541
"34","EL",2011,0.000596596939744218,0.0676777785658828,0.440324324613425,0.000941438884851442,0.000511787214691999,0.00612782098984665,0.0883019501270427,0.00160514502144629,0.00364057842269956,0.0126935708752707,0.00349388051990654,0.00527055512039988,0.00478219882073733,0.000571255895772159,0.00185995622239147,0.153149426967684,0.00102955950007087,0.0795386605641018,0.0203814578435179,0.00155777382366938,0.00593960961803406,0.00401241685686245,0.000630215209134288,0.0179847553882509,0.0535444798355965,0.0121699408611345,0.00689862168915759,0.000942202936428489,0.0000701654031588184,0.00375187526908941,0,0,0.0743353291330733,0.0576424832926638,0.0106069124610935,0,0.550824305865487,0.215389876484533,0.0877755816896483,0,0.00342551107350069
"35","ES",2011,0.000872717874081068,0.0951444613156753,0.374396925035472,0.00414739651541606,0.000713208758454128,0.00344928311963172,0.060601457252079,0.0213686821774491,0.00371537332615484,0.0105972636124209,0.00276091428072931,0.008969473087448,0.00825896148313084,0.00273967056669354,0.00603683999333194,0.244931916869185,0.0134272453402167,0.0416049801414051,0.020611869427114,0.00072409888080284,0.00197959512990248,0.0140703715935958,0.00190297275108678,0.0106531933086912,0.00166217198980487,0.0349153128402982,0.00206333741560663,0.00257686976295321,0.000903938158257868,0.0041994979929113,0,0.228136190799927,0.126680843326825,0.169471695428422,0.0370516762978363,0.00142293614969288,0.17575237748915,0.212258594929604,0.0480715262571246,0.000841903888568289,0.000312255432849272
