"","Country","Year","A","B","C10_12","C13_15","C16_18","C19","C20_21","C22_23","C24_25","C26","C27","C28","C29_30","C31_33","D","E","F","G","H","I","J58_60","J61","J62_63","K","L68","M","N","O84","P85","Q","R_S","T_U","VA_labour","VA_rest","Nuclear","Hydro","Wind","Solar","Other","Coal","Gas","Oil","Bio_Rest","Bio_Gas","Sector_Size","Gas_FC","Population","GDP_pC","Gas_FC_pC"
"232","SE",2018,0.021763613411576,0.00202273796576964,0.00124348980701805,0.00060401081411332,0.0388465958611966,0.0110492433883692,0.0203075482595116,0.00650651177064394,0.00432816958721117,0.00151940535932946,0.00550025558124223,0.00447617765455653,0.00301210732869571,0.00415748993276355,0.0644632104416449,0.00961643414266225,0.0850220159808979,0.0176931870478392,0.0210929902023685,0.00456826636917805,0.00345876096738026,0.00355131713740595,0.0218159099849176,0.011407372659889,0.0273779281114358,0.0533032969863384,0.0254961279500234,0.0116658754983951,0.000729055134728828,0.00203699535559683,0.00395952256909751,5.25887329691388e-07,0.103735424448338,0.403668426402536,0.324980055536343,0.295065335402799,0.0788070353058489,0.00192952315282924,0.123214512879686,0.0229140751154988,0.00764803348510177,0.00504425708749463,0.139932306027745,0.00046486600665351,210932.944444444,21629.649,10120242,36298.6,0.0021372659863272
"233","SI",2018,0.00632839630527129,0.0665309577236758,0.00273017563936579,0.000797377934464183,0.009214145020475,0.00399110860319109,0.018509504460201,0.0080302075450305,0.0199138810736124,0.0031689444498646,0.0117565782361177,0.00884604330205172,0.00157260648185992,0.0125412993779714,0.0796571063935261,0.011609970388379,0.0518163815812026,0.0572081752332937,0.0154196649641523,0.00315628765725406,0.00181888657140672,0.00450159923848298,0.0276898980337145,0.0300909970652062,0.00973940191381252,0.04303942327215,0.0343046542717994,0.00264685175467972,0.00651350189720048,0.00279240486970096,0.0113531429716567,3.26967142439017e-05,0.15777693985123,0.274900789203756,0.318042859496876,0.257216279408734,0.000331508054881336,0.000398404299139902,0.00287534556597791,0.32972343315453,0.0561784442847411,0.00347628306224138,0.0226091380948714,0.0091483045780067,18162.4546111111,27799.049,2066880,26455.6,0.0134497643791609
"234","SK",2018,0.00408342543301923,0.104898504045861,0.000933678702746464,0.000264539092577043,0.00387073600258729,0.00785450234473022,0.00163244669128451,0.00171325135956259,0.0124284313534041,0.00550577998678074,0.0706373246959556,0.00359619252250915,0.00262432399439793,0.00676585183175044,0.457717851069108,0.0038647718485001,0.00608141705222839,0.0319468951720076,0.0179778843394685,0.000371124297877175,0.00031917843969841,0.000680779330242811,0.00363111168272932,0.0103629101185626,0.00548981144519245,0.0546152019169176,0.00919412830954037,0.000754657884097054,0.00164129672638164,0.000359099793669127,0.00105729060600519,9.04242716445164e-06,0.051905071060491,0.115211488422952,0.497264460627099,0.121862215059212,3.23413521919351e-05,0.00628320603417762,0.00195844854940052,0.154435346941856,0.16420243530382,0.000474339832148382,0.0462696945359285,0.00721751176416686,30920.1666666667,123193,5443120,21172.8,0.0226327914872353
"235","AT",2019,0.00288046759750929,0.0271905665365558,0.000490405454101803,9.29327592963593e-05,0.00282605773650738,0.00517873176467096,0.00139679848435987,0.0023284852315601,0.00423181503442409,0.000901047604835812,0.00474990322241655,0.00342579057871457,0.000549324584594,0.00866227682811533,0.631070772029043,0.0154969855533457,0.00859180082813481,0.0149976212856871,0.0210808348670573,0.00391389660400345,0.000712016638786341,0.00111229642850626,0.00384288307520951,0.0196510679488083,0.00336194410076611,0.0101050340260218,0.0154426951431913,0.00194704881302141,0.00101142018785617,0.000183595952491651,0.000510383608333572,5.97254237123131e-08,0.0763781559399159,0.105684883826735,0,0.503656105857731,0.0859246339925695,0.0199228417729231,0.0269686264066281,0.025372932526544,0.202962387426855,0.00142588072706784,0.127079432300235,0.00668715898944686,86704.7743333333,222459.396,8858775,39484.4,0.0251117559707747
"236","BE",2019,0.00171413010970794,0.00388471064651997,0.00344851154560653,0.000114419992977129,0.016748280716651,0.00375965870729276,0.0208978497792786,0.000851351287821612,0.00286599661296569,0.0010273208471853,0.000342175086456889,0.00097741579335836,0.000433233728149813,0.00973835648192515,0.129131568888322,0.00309114796450666,0.086983785558707,0.0335341710390847,0.0705891074625775,0.00210823538261084,0.000566169219358387,0.00286794941941979,0.0144420886205267,0.0784911026160012,0.00294324095715,0.068547267499406,0.00880694012948553,0.00219871541498403,0.000522628868048506,0.000206129570154753,0.00499650845438624,5.06283154766059e-07,0.158927272786449,0.26424205252977,0.509550451410075,0.0138288421271581,0.113345695101661,5.26835333323837e-05,0.0330639903952065,0.0283519361491186,0.269151196082062,0.000145042320161995,0.0275428211433719,0.00496734173785285,85415.6833333333,438683.3,11455519,36925.2,0.0382944936846598
"237","BG",2019,0.000352095800046,0.341118979195288,0.00146059512490565,0.000862433895017617,0.00122898838190961,0.02445365575848,0.00272894326545158,0.0135119106110428,0.0198067944582531,0.00755868017893428,0.0453402999213608,0.0125423753319808,0.00539951627659896,0.0104879030325489,0.0111139106222885,0.00483054017386303,0.01309501847365,0.0585410810117546,0.0678222191995832,0.00278356497131423,0.00121345868122317,0.00310594013728791,0.0107950162512963,0.0270061494937184,0.00265772084506205,0.00571546535952997,0.00286897832508965,0.00246413509340178,0.00029211902498113,6.66706115676456e-05,0.000562817773153378,2.67753460111027e-07,0.104266678162215,0.193945076803741,0.311965682034642,0.0630457414280542,0.02454529824502,0.0268839254943079,0.00287122552158587,0.358446613049829,0.147412635787414,0.00232507989383073,0.0580521317437866,0.00445166680152933,53655.4083333333,53348.684,7000039,16665.6,0.00762119811046767
"238","CZ",2019,0.0137705864737413,0.0934287419766096,0.0021446846483509,0.00650312494347366,0.0054558719392872,0.00862282076310389,0.0150012695396897,0.00429017322684832,0.00941770669546523,0.0157522742848874,0.0256787347747354,0.0244235988334974,0.00438302715877018,0.0184219923130879,0.193500425748007,0.0142600459446079,0.0204405939167946,0.037382215859264,0.0404620722505422,0.00270649783240334,0.000710741243693335,0.00490852949787193,0.00528517077151166,0.0204744259771268,0.0137005105626372,0.023594746852446,0.011834856669304,0.00268164299204042,0.00169501971973655,0.00032887442410129,0.000604555470175196,2.21080790290132e-05,0.0836783421888472,0.274434016428313,0.288130219261,0.0245764092096924,0.00661661867475314,0.0218492825807395,0.00488473551993175,0.498960436044598,0.120908788220594,0.00379599741791935,0.0282486867348471,0.00202882633592449,105796.334111111,241312.361,10649800,29161.3,0.0226588631711394
"239","DE",2019,0.00102240059765601,0.0496646735042642,0.000678758916838855,0.000123642963592045,0.00188726586084645,0.00893673136531976,0.0036451244874485,0.00974483974531629,0.00947355956011605,0.00751035039627628,0.0221798350766422,0.00878091632543639,0.00342975387617032,0.0141500263256423,0.190853794525653,0.00295805295313214,0.0335886939467045,0.0435723080124286,0.0223364589117396,0.000587024850143085,0.00106992694499458,0.00186120468172779,0.00752963952022987,0.0195876143206359,0.0153749081632292,0.0334760916796848,0.0297925750956086,0.0626422933960869,0.000380916869768411,0.000186420877823703,0.00252476338375063,2.69598404675833e-07,0.137219008495123,0.253230154771566,0.110271518964513,0.0375640867242942,0.184925238887432,0.0651993316847964,0.0543905393934339,0.291248527635408,0.17777350891106,0.00321402685044628,0.0205269290322307,0.0548862919163858,680783.222222222,2435977.344,83019213,37859.3,0.029342332406837
"240","DK",2019,0.0142534480144422,0.131239780665776,0.0058481213643577,0.000547984501968515,0.0156093669575376,0.00434258493216477,0.00152927462599389,0.00495258964469775,0.00382017749816489,0.00117069416329637,0.00341094441066674,0.00723864457588123,0.000757281816326227,0.0104224044416501,0.0663654702226927,0.0344852431183896,0.0385645347038184,0.01229705307041,0.0126578067480329,0.00762965609208146,0.00146240647444191,0.00148530881634846,0.00789930191321483,0.0281158845126841,0.00134806193528801,0.0712010406021744,0.0131805485227906,0.00295925004693308,0.000751765193823188,0.000127885339843171,0.00392582917761702,3.34340757759924e-07,0.128032115435827,0.362367206119907,0,0.000313269255629332,0.298374980092476,0.012047093941032,0.0380621468157498,0.126302957839315,0.130293761899185,0.00484071658172389,0.374697517054985,0.0150675565199032,54125.9625555556,71830.762,5806081,39794.2,0.0123716431100427
"241","EE",2019,0.0051624879714699,0.131362582527921,0.000782397788422251,0.000435334154070842,0.0457575650175906,0.0232459076249011,0.00819377786456226,0.00326600922961904,0.0109508941736776,0.00133676340090263,0.0126628072833878,0.00978799694797991,0.000740268676737976,0.0194937418207667,0.105211103628921,0.00189246644549998,0.0138631526083604,0.0345151106424155,0.0136498321857051,0.000415941388374906,0.000824526900106527,0.00201818506449432,0.0125591562943233,0.0208171309004997,0.00719404735713383,0.0261019939106716,0.0104767744882149,0.00204225884259962,0.00116958438628249,0.000409922943848581,0.000884042629311296,0,0.098297248300291,0.374478986600936,0,0.00135986063845986,0.0517502520747224,0.00555276427371109,0.0318093312201603,0.120294325550444,0.0785701412906536,0.367874364355914,0.33846076761556,0.00432819298037504,13236.6505,11217,1324820,24561.3,0.00846681058558899
"242","ES",2019,0.000912497456126172,0.0727242968918109,0.00506810167132473,0.000350543306418791,0.00253978661209915,0.0630294520496535,0.0188048835935188,0.00353414993164626,0.0107675945739889,0.00180179350663917,0.0047352139204544,0.0056800444421633,0.0024143896241977,0.00559913580765764,0.325013069213515,0.00571336512488084,0.0133325730200806,0.0513355941560901,0.0263773392129676,0.00125073353363424,0.00117494531411983,0.0151961609711394,0.00305430475111608,0.021698708157283,0.00112671920972153,0.0168516655889485,0.0352871044034992,0.00280616974452229,0.00406202369314778,0.00139237302487589,0.00588428366564219,7.59705488316049e-08,0.0347144536005163,0.235766454256051,0.248355970222311,0.110568185203945,0.236284854495384,0.0639139188136596,0.000497997369552356,0.0576527723981766,0.230351449938495,0.0400781472795298,0.0109133782524123,0.00138332602653432,234941,672494,46937060,28408.7,0.0143275697284832
"243","FI",2019,0.012759877183077,0.0456364335480853,0.00146022345310554,0.000214148165897034,0.0380249101203898,0.0259629551618868,0.00759247883488493,0.00275980990598285,0.00306379886839928,0.0105684034679789,0.00791520188044653,0.00625832230592758,0.000501369606382423,0.00486371989544104,0.0258353356894117,0.0360611434932441,0.0902283125817999,0.0347297815512752,0.00605628401698074,0.00066252412271963,0.00438346494630512,0.0061412601620757,0.0225496259134806,0.0300753451703068,0.00345617958222995,0.0385073386371834,0.0103271374579712,0.0069510693694118,0.00170117895344787,0.000223152946193333,0.000807325130012984,0,0.0873272207780648,0.4263946671,0.226340190897822,0.110571971766213,0.0571302744096933,3.79288128861035e-05,0.0724861757378866,0.211337765034165,0.0878009875187866,0.0220740423106444,0.208277120549884,0.00394354296201904,105460.722222222,32216,5517919,34234.3,0.00583843293096546
"244","FR",2019,0.000317962949785337,0.0597883725894827,0.000967409094143599,0.000622967021671925,0.000677079627125881,0.00751033784798817,0.0370096223028693,0.00731750436838318,0.00615886682954213,0.00290002925433083,0.00457943341477106,0.00807341255722384,0.0012751409347154,0.00108504313037153,0.417369363599706,0.00465301991666469,0.0103795393628881,0.0276408833226595,0.0179032946701772,0.00419504732085676,0.00151861603295461,0.00204079793163974,0.0045580540335397,0.0102996038805475,0.00184849419262,0.0215266333009164,0.0202058872364145,0.00261401677775406,0.00587968563454225,0.000640669845110178,0.0018859160163508,1.34411790285981e-07,0.0968296291025246,0.209727531487939,0.682322122519929,0.104273291468041,0.057320647855827,0.0163435240690024,0.0114197974774366,0.00768724046897444,0.0835219997701149,0.00960102035260665,0.0248152493596908,0.00269510665837656,584784.772222222,1315535.053,67177636,33130.9,0.0195829316321878
